Dll,Assembly,Service,Package,Type,Interface
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsCreateAggregateProject
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsSolution3
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.SVsSolution
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.SVsSolution
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.SVsSolutionObject
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.SVsSolutionObject
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IPersistFileFormat
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsSolution
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsHierarchy
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsPersistSolutionOpts
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsUIHierWinClipboardHelperEvents
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsUIHierarchy
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsSolution2
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsFireSolutionEvents
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsProject2
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsFileChangeEvents
